id,host_id,distrito,barrio,tipo_alquiler,precio,accommodates,bedrooms,beds,minimo_noches,total_inmuebles_host,disponibilidad_365,dis_centro,tipo_fuente,latitude,longitude
25497949,192429783,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,162.33333333333334,3,1.0,2.0,2,1,0,0.10892452143662237,Mercado,39.46938,-0.37751
25654074,134222176,CIUTAT VELLA,EL MERCAT,Entire home/apt,171.0,4,2.0,2.0,2,4,193,0.40901887120702385,Mercado,39.472503662109375,-0.379593014717102
25703432,92622940,RASCANYA,TORREFIEL,Entire home/apt,197.33333333333334,6,3.0,3.0,2,1,108,2.450901834016025,Mercado,39.49183,-0.37574
25714154,16776261,CAMINS AL GRAU,PENYA-ROJA,Entire home/apt,148.0,5,2.0,3.0,1,1,23,1.7857291985028911,Mercado,39.46471,-0.35664
25809311,193910162,ALGIROS,L'AMISTAT,Entire home/apt,110.0,5,3.0,3.0,5,1,0,1.9722773793985164,Mercado,39.4718,-0.35354
25839040,21369157,L'EIXAMPLE,RUSSAFA,Entire home/apt,165.75,6,3.0,5.0,1,11,306,0.6230104501480641,Mercado,39.46441,-0.37439
25866594,104289766,L'EIXAMPLE,RUSSAFA,Entire home/apt,88.0,4,2.0,2.0,2,1,127,0.9210857391698456,Mercado,39.46266,-0.37093
25933719,95409140,LA SAIDIA,MORVEDRE,Entire home/apt,145.5,4,2.0,2.0,1,2,71,1.2948929688874133,Mercado,39.48142,-0.37729
25989994,104520761,CIUTAT VELLA,EL CARME,Entire home/apt,82.0,2,0.0,1.0,2,6,70,1.0562735255994682,Mercado,39.47873,-0.38055
26002503,123160301,L'EIXAMPLE,RUSSAFA,Entire home/apt,146.5,5,3.0,3.0,4,69,31,0.4341024562783536,Mercado,39.4659,-0.37617
26028221,123160301,QUATRE CARRERES,MONT-OLIVET,Entire home/apt,104.0,4,2.0,2.0,6,69,56,1.8545348293464323,Mercado,39.45952,-0.35936
26029827,169321483,L'EIXAMPLE,LA GRAN VIA,Entire home/apt,310.25,4,2.0,3.0,1,2,34,0.8332416584149276,Mercado,39.46505,-0.36886
26058798,151054600,EXTRAMURS,ARRANCAPINS,Entire home/apt,136.0,6,4.0,4.0,11,3,309,1.12279959228064,Mercado,39.4658,-0.38837
26070439,195935272,JESUS,LA RAIOSA,Entire home/apt,175.75,4,3.0,3.0,3,1,74,1.643890341081331,Mercado,39.45698,-0.38589
26080649,93135594,L'EIXAMPLE,RUSSAFA,Entire home/apt,146.75,4,2.0,2.0,2,1,56,1.2103391413767757,Mercado,39.45892,-0.37611
26149130,196554269,EL PLA DEL REAL,MESTALLA,Entire home/apt,79.0,2,1.0,1.0,3,1,48,1.67845014349872,Mercado,39.46614,-0.3574
26155664,121643082,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,104.0,4,1.0,2.0,1,18,181,0.48644332220536984,Mercado,39.47199,-0.37146
26157273,121643082,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,102.0,4,1.0,2.0,1,18,187,0.48644332220536984,Mercado,39.47199,-0.37146
26176965,196748189,CIUTAT VELLA,LA SEU,Entire home/apt,165.0,4,1.0,1.0,1,1,276,0.9148698426828666,Mercado,39.47788,-0.37437
26252623,40365679,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,256.3333333333333,8,4.0,6.0,1,5,317,0.19852066617001402,Mercado,39.47066,-0.37839
26360246,5720816,L'EIXAMPLE,RUSSAFA,Entire home/apt,120.0,5,3.0,4.0,95,1,270,0.9689710748439442,Mercado,39.46144,-0.37319
26373667,198336872,CIUTAT VELLA,EL CARME,Entire home/apt,125.5,3,1.0,2.0,4,4,213,1.1028473263379601,Mercado,39.47959,-0.3784
26649865,74589110,CAMINS AL GRAU,AIORA,Entire home/apt,93.5,6,2.0,4.0,10,1,206,3.4363229908561603,Mercado,39.46541,-0.33675
26656863,21044259,CAMINS AL GRAU,AIORA,Entire home/apt,174.0,4,2.0,2.0,7,2,90,2.945905045385177,Mercado,39.46684,-0.34227
26724456,12055632,CIUTAT VELLA,EL PILAR,Entire home/apt,176.75,4,2.0,2.0,3,3,117,0.41678415918896355,Mercado,39.47125,-0.38084
26730764,1328225,L'OLIVERETA,SOTERNES,Entire home/apt,79.25,4,3.0,3.0,31,1,291,2.8805505686615747,Mercado,39.47162,-0.40983
26770759,84941167,CAMINS AL GRAU,AIORA,Entire home/apt,91.75,4,1.0,1.0,10,3,345,2.590622188936908,Mercado,39.4664574,-0.3465052
26834590,123160301,L'EIXAMPLE,RUSSAFA,Entire home/apt,121.33333333333333,4,2.0,3.0,4,70,12,0.6014438720331973,Mercado,39.4644,-0.37673
26857575,165999718,ALGIROS,CIUTAT JARDI,Entire home/apt,94.0,4,3.0,3.0,3,2,73,2.5162691153262253,Mercado,39.47006,-0.34706
26858909,165999718,CAMINS AL GRAU,AIORA,Entire home/apt,141.75,5,3.0,4.0,3,2,202,2.442145524619429,Mercado,39.46866,-0.34796
26930146,200778878,CAMINS AL GRAU,LA CREU DEL GRAU,Entire home/apt,245.0,8,4.0,6.0,3,5,112,3.1065725738581498,Mercado,39.46061,-0.3422
26938413,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,171.75,6,2.0,2.0,1,22,126,0.9308293209531223,Mercado,39.47815,-0.37709
26938445,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,159.75,6,2.0,3.0,1,22,163,0.9740212187273419,Mercado,39.47831,-0.37904
26938447,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,154.25,4,2.0,3.0,1,23,75,0.9334086802147719,Mercado,39.47815,-0.37745
26938467,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,159.75,5,2.0,2.0,1,22,121,0.9371596115828763,Mercado,39.47821,-0.37703
26938526,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,133.25,4,1.0,1.0,1,23,61,1.0041502860556377,Mercado,39.47857,-0.37914
26938551,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,160.5,5,2.0,3.0,1,22,127,0.8697327354359335,Mercado,39.4773,-0.37923
26938578,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,156.0,4,2.0,3.0,1,23,65,1.0115049668825138,Mercado,39.47866,-0.37902
26938601,102196656,CIUTAT VELLA,LA SEU,Entire home/apt,130.25,4,1.0,1.0,1,22,142,0.7636663927861143,Mercado,39.47656,-0.37792
26938624,102196656,CIUTAT VELLA,LA SEU,Entire home/apt,123.5,4,1.0,1.0,1,23,48,0.748095406739625,Mercado,39.47643,-0.37783
26938631,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,160.0,5,2.0,2.0,1,22,137,0.8357452289071143,Mercado,39.47729,-0.37714
26938661,102196656,CIUTAT VELLA,EL CARME,Entire home/apt,155.25,4,2.0,3.0,1,22,171,0.9842148542128487,Mercado,39.47845,-0.37878
