id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
724380,Ático Abuhardillado del Siglo XVI con Terraza,3744401,Jose,CIUTAT VELLA,EL MERCAT,39.47436,-0.3809,Entire home/apt,90,11,161,2025-05-10,1.31,2,201,12,
760857,Cozy rooftop flat with garden terrace.,372326,Sandro And BB,CIUTAT VELLA,EL MERCAT,39.47305,-0.38039,Entire home/apt,134,27,163,2025-05-25,1.23,2,143,13,
772380,Charming loft in Plaza Redonda -1,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47391,-0.37675,Entire home/apt,100,3,364,2025-06-15,2.42,6,140,52,VT-34649-V
776819,Our Sunny Penthouse. Only long stays,4096931,Jose,CIUTAT VELLA,EL CARME,39.47784,-0.38039,Entire home/apt,82,3,445,2025-05-29,2.95,8,334,29,
782942,Charming loft in Plaza Redonda -2,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47384,-0.37677,Entire home/apt,100,3,354,2025-06-13,2.40,6,154,52,VT-34650-V
852911,Private room with own bathroom,3813918,Guillermo,L'EIXAMPLE,RUSSAFA,39.45832,-0.37453,Private room,,18,20,2015-07-08,0.15,1,134,0,
853840,Sun Studio City Center @ Top Location-Nice Balcony,2361433,Raúl,CIUTAT VELLA,EL MERCAT,39.47234,-0.3775,Entire home/apt,110,2,107,2025-05-12,0.85,2,88,2,VT-38806-V
864794,Apartamento en el corazón Valencia,3964897,Ricardo,CIUTAT VELLA,LA XEREA,39.4715,-0.37196,Entire home/apt,48,2,82,2025-06-01,2.57,1,203,31,
880307,SUNNY VALENCIA,4655487,Oscar,JESUS,LA RAIOSA,39.45987,-0.38732,Entire home/apt,50,21,130,2025-05-25,0.87,1,101,9,ESFCNT00004606300012019400000000000000000000000000005
896304,Penthouse on the beach//wifi,2570450,Morten,POBLATS DEL SUD,EL PERELLONET,39.29884,-0.28764,Entire home/apt,250,2,243,2025-05-04,1.64,1,99,9,
923390,NOMAD Flats * Central & Bright 2 Bd+wifi,4966350,Avatar Valencia,CIUTAT VELLA,SANT FRANCESC,39.46951,-0.37527,Entire home/apt,183,3,369,2025-06-04,2.46,8,265,53,ESFCTU000046025000597680000000000000000000VT-41254-V4
927457,Nuevo Corazón del Centro Loft+WIFI,4356813,Laura Y Lucia,CIUTAT VELLA,SANT FRANCESC,39.46949,-0.37353,Entire home/apt,76,3,432,2025-06-12,2.88,1,29,26,VT-38490-V
938734,A centric loft,4708020,Nathan Cosmos,CIUTAT VELLA,SANT FRANCESC,39.46894,-0.37549,Entire home/apt,98,1,47,2025-05-29,0.32,8,281,18,VUT0033229-V
959190,Primera línea de playa cerca de Valencia,5220094,Pilar,POBLATS DEL SUD,EL SALER,39.36427,-0.32109,Entire home/apt,131,7,13,2025-06-15,0.09,1,72,7,VT-40126-V
960147,Your home in the center of Valencia,4678441,Manuel,CIUTAT VELLA,EL CARME,39.47753,-0.37966,Entire home/apt,101,2,304,2025-05-30,2.08,1,299,25,VT-37416-V
969359,"N1 Puerto,Playa,Ciudad Artes yCienc",5128253,Yulia,POBLATS MARITIMS,NATZARET,39.44833,-0.33492,Entire home/apt,84,2,336,2025-06-01,2.25,2,41,30,ESFCTU000046052000479432000000000000000000VT-45199-V8
970809,luxury apartment in the city center,5305009,Javier,CIUTAT VELLA,EL MERCAT,39.47376,-0.37578,Entire home/apt,99,4,50,2025-04-11,0.35,3,288,1,VT-37899-V
983548,Flat next to Train Station & Subway,1120386,Ignacio,EXTRAMURS,LA ROQUETA,39.46527,-0.3801,Entire home/apt,99,3,866,2025-06-18,5.80,1,341,62,ESHFTU000046063000238097001000000000000000VT-36327-V7
993282,1 Bdr. APARTMENT CENTER VALENCIA,5456718,Carla,EXTRAMURS,LA ROQUETA,39.46614,-0.38086,Entire home/apt,86,2,176,2025-06-15,1.24,1,48,32,VT-45129-V
995182,ART GALLERY APARTMENT IN THE CENTER,5318547,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.47062,-0.37194,Entire home/apt,223,3,370,2025-06-19,2.53,1,320,59,ESFCTU000046025000236879000000000000000000VT-36511-V6
1043431,Ático con terrazas en el carmen,3269596,Victor,CIUTAT VELLA,EL MERCAT,39.47344,-0.37836,Entire home/apt,131,5,481,2025-06-14,3.28,2,180,36,VT-36806-V
1076404,Centric and cozy apartment,2869421,Miguel Ángel,EXTRAMURS,ARRANCAPINS,39.46771240234375,-0.3846670091152191,Entire home/apt,94,2,302,2025-06-18,2.05,1,302,41,ESFCTU000046063000018804000000000000000000VT-42121-V6
1114098,"Sunny, Cute Apt Historic Centre 35e",1512611,Moshe,CIUTAT VELLA,EL MERCAT,39.47355,-0.38043,Entire home/apt,104,2,134,2025-06-01,0.92,3,97,46,AT36770V
1145001,"Big apartment in Valencia, Spain",6278049,Lourdes,L'EIXAMPLE,RUSSAFA,39.46043,-0.37314,Entire home/apt,71,2,152,2025-06-08,1.15,1,20,30,
1147656,FAMILY-GOOD VIEWS-SW.POOL-FREE WIFI,6258307,Isabel,CAMPANAR,SANT PAU,39.489837646484375,-0.4043799936771393,Entire home/apt,135,5,249,2025-06-04,1.71,1,179,21,VT-38032-V    ESFCTU00004605300078180800000000000000000 OVT-3832-V2                                                                       ESFCNT100004605300078180800000000000000000000000000009
1191980,ROOM PERFECT AND BETTER COMFORT,6516174,Grego,L'EIXAMPLE,RUSSAFA,39.46085,-0.37638,Private room,48,5,265,2025-06-10,1.81,2,353,6,
1220708,BEST DEAL TO STAY IN VALENCIA WIFI!,3264741,Clara,LA SAIDIA,SANT ANTONI,39.49138,-0.37427,Entire home/apt,117,14,213,2025-04-29,1.47,1,133,6,
1232560,Acogedor ático con altillo en Ruzafa,5955237,Jose Luis,L'EIXAMPLE,RUSSAFA,39.46312,-0.37694,Entire home/apt,118,1,185,2025-06-03,1.28,1,151,31,VT-38064-V
1254792,Flat with terrace in the city centre,6835647,Carlos,EXTRAMURS,LA ROQUETA,39.46713,-0.38027,Entire home/apt,190,11,65,2025-06-11,0.49,4,231,27,
1263619,Open White Loft by CuldeSac,6879501,Mónica,CIUTAT VELLA,EL PILAR,39.47109,-0.38169,Entire home/apt,,90,158,2025-05-06,1.09,1,67,17,
1308898,BUBBLE CARO FLAT- City Center- :D,7115413,Elena,CIUTAT VELLA,EL CARME,39.48005,-0.38036,Entire home/apt,105,3,435,2025-06-14,3.01,1,88,31,VT-36275-V
